K,lambda_F,Seed,Episodes,Success Rate,Collision Rate,Average Return,Path Length,Optimality Gap,Repeated Failure Rate,Inference Time
5,0.5,0,40,0.15,0.85,-0.7300000000000001,4.0,4.333333333333333,0.6525824420677362,0.0011463301626058419
5,0.5,1,40,0.225,0.775,-0.5885,4.85,3.3333333333333335,0.5280740440115441,0.0011347589819308093
5,0.5,2,40,0.2,0.8,-0.6367499999999999,4.675,5.5,0.577014652014652,0.001132624510771636
5,0.5,3,40,0.15,0.85,-0.7414999999999999,5.15,5.333333333333333,0.5823926244258725,0.001124138345367212
5,0.5,4,40,0.15,0.85,-0.7369999999999999,4.7,5.666666666666667,0.6860385447885448,0.0011430351521021964
5,0.5,5,40,0.175,0.825,-0.687,4.7,5.428571428571429,0.690922619047619,0.001135456813760441
5,0.5,6,40,0.075,0.925,-0.8732500000000002,3.325,0.6666666666666666,0.6812337662337662,0.0011637365571013582
5,0.5,7,40,0.05,0.95,-0.9289999999999999,3.9,0.0,0.6378472222222221,0.0011476182857421042
5,0.5,8,40,0.225,0.775,-0.5985,5.85,7.333333333333333,0.5923704146730463,0.0011572567879549692
5,0.5,9,40,0.1,0.9,-0.8352499999999999,4.525,10.0,0.6189920112781955,0.0011565217757240364
10,0.5,0,40,0.35,0.65,-0.36175,7.175,4.714285714285714,0.556128663003663,0.0012297760102089003
10,0.5,1,40,0.375,0.625,-0.3072500000000001,6.725,4.266666666666667,0.4966712936821633,0.0012447378330023853
10,0.5,2,40,0.4,0.6,-0.25525000000000003,6.525,4.75,0.4295343577990637,0.0012233612480482714
10,0.5,3,40,0.45,0.55,-0.165,7.5,5.222222222222222,0.3772916666666667,0.00121244017560555
10,0.5,4,40,0.45,0.55,-0.15300000000000002,6.3,2.5555555555555554,0.4027536352536353,0.0012290629646141472
10,0.5,5,40,0.275,0.725,-0.50675,6.675,8.909090909090908,0.5628877372627372,0.001245120469479046
10,0.5,6,40,0.375,0.625,-0.30925,6.925,6.0,0.5624638853970696,0.0012498281588718407
10,0.5,7,40,0.475,0.525,-0.11325000000000003,7.325,4.105263157894737,0.439990564990565,0.0012505113811354083
10,0.5,8,40,0.5,0.5,-0.07349999999999998,8.35,5.2,0.44614664134884724,0.0012538529470189014
10,0.5,9,40,0.5,0.5,-0.06750000000000002,7.75,5.2,0.3368005952380952,0.0012410210147189848
20,0.5,0,40,0.625,0.375,0.18524999999999997,7.475,1.92,0.3019047619047619,0.001455571950645842
20,0.5,1,40,0.575,0.425,0.06649999999999998,9.35,5.391304347826087,0.33287435335132703,0.0014386567430651881
20,0.5,2,40,0.575,0.425,0.07999999999999999,8.0,2.5217391304347827,0.3228950216450216,0.0014394302599797324
20,0.5,3,40,0.6,0.4,0.131,7.9,3.3333333333333335,0.36971737199998067,0.0014519864966663298
20,0.5,4,40,0.575,0.425,0.07724999999999997,8.275,4.0,0.316083429384513,0.0014617621502734778
20,0.5,5,40,0.575,0.425,0.08049999999999995,7.95,3.8260869565217392,0.3328521671826626,0.001467391274564338
20,0.5,6,40,0.575,0.425,0.07349999999999998,8.65,3.130434782608696,0.34496527777777775,0.0014760035760534272
20,0.5,7,40,0.575,0.425,0.08350000000000002,7.65,3.391304347826087,0.3531360452413084,0.0014576239098813245
20,0.5,8,40,0.575,0.425,0.08799999999999998,7.2,2.5217391304347827,0.32244047619047617,0.0014694332410714855
20,0.5,9,40,0.525,0.475,-0.014750000000000022,7.475,3.7142857142857144,0.3510714285714286,0.0014528451311795177
30,0.5,0,40,0.625,0.375,0.18175,7.825,2.08,0.320625,0.0016845858865542126
30,0.5,1,40,0.6,0.4,0.13449999999999998,7.55,2.0833333333333335,0.3416071428571429,0.001674115636649451
30,0.5,2,40,0.625,0.375,0.1785,8.15,3.12,0.3028571428571428,0.001695787231850447
30,0.5,3,40,0.625,0.375,0.17775,8.225,3.44,0.29803030303030303,0.0016715161601161509
30,0.5,4,40,0.625,0.375,0.17874999999999996,8.125,3.52,0.29485119047619046,0.0016652370941878463
30,0.5,5,40,0.625,0.375,0.17225,8.775,2.96,0.29606116584564857,0.0016795895196227422
30,0.5,6,40,0.625,0.375,0.18224999999999997,7.775,2.4,0.2951190476190476,0.0016792821942703796
30,0.5,7,40,0.65,0.35,0.23124999999999996,7.875,1.5384615384615385,0.2830654761904762,0.0016845287944732338
30,0.5,8,40,0.625,0.375,0.18574999999999997,7.425,2.16,0.29138888888888886,0.0017532132587437042
30,0.5,9,40,0.65,0.35,0.22325000000000003,8.675,2.8461538461538463,0.27771825396825395,0.0016793854446432194
40,0.5,0,40,0.65,0.35,0.236,7.4,1.3846153846153846,0.2808333333333333,0.0019105184340755138
40,0.5,1,40,0.625,0.375,0.1815,7.85,2.4,0.3283035714285714,0.0019001410227657486
40,0.5,2,40,0.65,0.35,0.21349999999999997,9.65,3.0,0.32452380952380955,0.0019010381708879458
40,0.5,3,40,0.625,0.375,0.18124999999999997,7.875,2.32,0.309702380952381,0.0018985864105500912
40,0.5,4,40,0.625,0.375,0.18149999999999997,7.85,2.08,0.29994047619047615,0.0018915607849421458
40,0.5,5,40,0.6,0.4,0.13324999999999998,7.675,1.9166666666666667,0.29089477726574503,0.0019165032238793248
40,0.5,6,40,0.65,0.35,0.23549999999999996,7.45,1.4615384615384615,0.2895982142857143,0.001898784998011523
40,0.5,7,40,0.625,0.375,0.177,8.3,2.16,0.31555555555555553,0.0019236778119145214
40,0.5,8,40,0.6,0.4,0.13174999999999998,7.825,3.0833333333333335,0.3030555555555555,0.0019607606582642224
40,0.5,9,40,0.6,0.4,0.13399999999999998,7.6,2.75,0.31206349206349204,0.0019091904485346797
